,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
158,《济宁市银行保险业金融产品汇编》印刷,山东,http://www.gc-zb.com/read-195888261.html,招标,,,,,
159,E5300000000419001532曲靖市商业银行股份有限公司支行、网点物防、技防升级改造入围项目[变更公告],云南,http://www.gc-zb.com/read-195883928.html,招标,,,,,
160,吉林桦甸农商行家庭银行项目中标公告,吉林,http://www.gc-zb.com/read-195883827.html,中标,,,,,
161,中国邮政储蓄银行陕西省分行机关二楼视频会议室UPS电源设备采购项目公开竞争性磋商公告,陕西,http://www.gc-zb.com/read-195883719.html,招标,,,,,
162,贵阳银行2019商业汇票管理系统改造采购项目成交公告(129926),贵州,http://www.gc-zb.com/read-195870969.html,招标,,,,,
163,广东罗定农村商业银行股份有限公司不间断电源UPS（20KVA）采购项目招标公告,广东,http://www.gc-zb.com/read-195869967.html,招标,,,,,
164,中国人民银行清算总中心2019年清算总中心办公系统IT资源建设项目办公云建设采购招标公告,北京,http://www.gc-zb.com/read-195868785.html,招标,,,,,
165,中国邮政储蓄银行股份有限公司九江、抚州市分行会议系统采购项目,江西,http://www.gc-zb.com/read-195861438.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
166,新乡县财政局国库集中支付（授权支付）代理银行招标项目结果公告,河南,http://www.gc-zb.com/read-195859212.html,招标,,,,,
167,重庆银行新建项目网络配套采购中标候选人公示,重庆,http://www.gc-zb.com/read-195853481.html,中标,,,,,
168,中国邮政储蓄银行股份有限公司鹤壁市分行现金清分外包服务采购（二次）竞争性磋商公告,河南,http://www.gc-zb.com/read-195852943.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
169,苏州大学贷款合作银行项目中标公告,江苏,http://www.gc-zb.com/read-195852657.html,中标,,,,,
170,交通银行股份有限公司广东省分行公务用车年度协议采购项目变更公告,广东,http://www.gc-zb.com/read-195852282.html,招标,,,,,
171,成都市青羊区城市更新改造中心资金存放银行比选项目（三次）更正公告,四川,http://www.gc-zb.com/read-195851949.html,招标,,,,,
172,交通银行股份有限公司广东省分行公务用车年度协议采购项目,广东,http://www.gc-zb.com/read-195851788.html,招标,,,,,
173,交通银行股份有限公司无锡分行的交行无锡分行员工补充医疗保险项目答疑澄清,江苏,http://www.gc-zb.com/read-195851685.html,招标,,,,,
